arr_size, iters, time
262144, 1000, 12.241000
262144, 1000, 12.179000
262144, 1000, 12.130000
262144, 1000, 36.453000
262144, 1000, 31.544000
262144, 1000, 27.719000
262144, 1000, 24.573000
262144, 1000, 21.741000
262144, 1000, 19.121000
262144, 1000, 17.060000
262144, 1000, 15.153000
262144, 1000, 13.589000
262144, 1000, 12.253000
262144, 1000, 12.317000
262144, 1000, 12.161000
262144, 1000, 11.181000
262144, 1000, 10.880000
262144, 1000, 10.985000
262144, 1000, 10.835000
262144, 1000, 10.898000
262144, 1000, 10.977000
262144, 1000, 10.918000
262144, 1000, 10.889000
262144, 1000, 10.987000
262144, 1000, 10.989000
262144, 1000, 10.898000
262144, 1000, 10.856000
262144, 1000, 10.957000
262144, 1000, 10.777000
262144, 1000, 10.916000
262144, 1000, 10.969000
262144, 1000, 10.880000
262144, 1000, 10.856000
262144, 1000, 10.954000
262144, 1000, 10.903000
262144, 1000, 11.067000
262144, 1000, 10.982000
262144, 1000, 10.993000
262144, 1000, 10.828000
262144, 1000, 10.786000
262144, 1000, 10.908000
262144, 1000, 10.962000
262144, 1000, 10.876000
262144, 1000, 11.019000
262144, 1000, 10.863000
262144, 1000, 10.822000
262144, 1000, 10.816000
262144, 1000, 10.851000
262144, 1000, 10.963000
262144, 1000, 10.822000
262144, 1000, 16.621000
262144, 1000, 10.836000
262144, 1000, 10.813000
262144, 1000, 36.887000
262144, 1000, 36.837000
262144, 1000, 27.738000
262144, 1000, 24.329000
262144, 1000, 21.494000
262144, 1000, 19.067000
262144, 1000, 17.046000
262144, 1000, 15.361000
262144, 1000, 13.667000
262144, 1000, 13.747000
262144, 1000, 13.553000
262144, 1000, 13.634000
262144, 1000, 12.186000
262144, 1000, 12.091000
262144, 1000, 12.285000
262144, 1000, 12.202000
262144, 1000, 10.861000
262144, 1000, 10.854000
262144, 1000, 10.804000
262144, 1000, 9.645000
262144, 1000, 9.658000
262144, 1000, 9.654000
262144, 1000, 8.727000
262144, 1000, 8.671000
262144, 1000, 8.621000
262144, 1000, 8.876000
262144, 1000, 8.606000
262144, 1000, 8.597000
262144, 1000, 8.639000
262144, 1000, 8.740000
262144, 1000, 8.605000
262144, 1000, 8.772000
262144, 1000, 8.683000
262144, 1000, 8.787000
262144, 1000, 8.717000
262144, 1000, 8.699000
262144, 1000, 8.723000
262144, 1000, 8.616000
262144, 1000, 8.606000
262144, 1000, 8.649000
262144, 1000, 8.682000
262144, 1000, 8.607000
262144, 1000, 8.642000
262144, 1000, 8.663000
262144, 1000, 8.658000
262144, 1000, 8.766000
262144, 1000, 8.679000
