arr_size, iters, time
1048576, 100000, 106141
1048576, 100000, 98144
1048576, 100000, 90956
1048576, 100000, 87678
1048576, 100000, 84851
1048576, 100000, 106700
1048576, 100000, 98005
1048576, 100000, 94097
1048576, 100000, 87724
1048576, 100000, 84795
1048576, 100000, 110815
1048576, 100000, 97907
1048576, 100000, 94225
1048576, 100000, 90895
1048576, 100000, 84858
1048576, 100000, 195929
1048576, 100000, 149630
1048576, 100000, 195949
1048576, 100000, 149558
1048576, 100000, 195513
1048576, 100000, 159235
1048576, 100000, 133948
1048576, 100000, 121075
1048576, 100000, 115350
1048576, 100000, 101853
1048576, 100000, 91026
1048576, 100000, 88049
1048576, 100000, 82191
1048576, 100000, 79503
1048576, 100000, 79761
1048576, 100000, 101115
1048576, 100000, 79546
1048576, 100000, 79473
1048576, 100000, 149675
1048576, 100000, 137465
1048576, 100000, 79357
1048576, 100000, 79698
1048576, 100000, 79489
1048576, 100000, 79527
1048576, 100000, 79620
1048576, 100000, 79659
1048576, 100000, 79432
1048576, 100000, 79587
1048576, 100000, 79555
1048576, 100000, 79579
1048576, 100000, 150192
1048576, 100000, 195433
1048576, 100000, 149680
1048576, 100000, 121062
1048576, 100000, 115598
