arr_size, iters, time
256, 1000000, 31.106115
256, 1000000, 19.367017
256, 1000000, 14.572383
256, 1000000, 11.169501
256, 1000000, 9.775285
256, 1000000, 8.763433
256, 1000000, 7.921007
256, 1000000, 7.098334
256, 1000000, 7.175735
256, 1000000, 5.606121
256, 1000000, 4.818712
256, 1000000, 4.742909
256, 1000000, 5.416728
256, 1000000, 7.345196
256, 1000000, 3.782949
256, 1000000, 3.250127
256, 1000000, 2.291944
256, 1000000, 2.089393
256, 1000000, 1.641572
256, 1000000, 1.180428
256, 1000000, 1.139314
256, 1000000, 1.164336
256, 1000000, 1.145400
256, 1000000, 1.160288
256, 1000000, 1.143397
256, 1000000, 1.377297
256, 1000000, 1.146163
256, 1000000, 1.156170
256, 1000000, 1.141502
256, 1000000, 1.152268
256, 1000000, 1.156674
256, 1000000, 1.138706
256, 1000000, 1.162733
256, 1000000, 1.174367
256, 1000000, 1.159262
256, 1000000, 1.142792
256, 1000000, 1.162689
256, 1000000, 1.143555
256, 1000000, 1.155321
256, 1000000, 1.144215
256, 1000000, 1.189956
256, 1000000, 1.142715
256, 1000000, 1.161839
256, 1000000, 1.172143
256, 1000000, 1.155304
256, 1000000, 1.601272
256, 1000000, 1.165249
256, 1000000, 1.268691
256, 1000000, 1.164907
256, 1000000, 1.156229
256, 1000000, 1.761438
256, 1000000, 6.605185
256, 1000000, 2.128361
256, 1000000, 1.961715
256, 1000000, 1.784673
256, 1000000, 1.595622
256, 1000000, 1.656291
256, 1000000, 1.799851
256, 1000000, 1.831395
256, 1000000, 9.768643
256, 1000000, 7.301663
256, 1000000, 2.160314
256, 1000000, 1.991359
256, 1000000, 2.007308
256, 1000000, 9.669831
256, 1000000, 7.819269
256, 1000000, 6.498312
256, 1000000, 6.360936
256, 1000000, 3.999398
256, 1000000, 3.111102
256, 1000000, 2.241466
256, 1000000, 2.161205
256, 1000000, 1.775000
256, 1000000, 1.610991
256, 1000000, 1.598409
256, 1000000, 1.704467
256, 1000000, 3.083725
256, 1000000, 1.882845
256, 1000000, 1.886988
256, 1000000, 1.641793
256, 1000000, 1.192416
256, 1000000, 1.238986
256, 1000000, 1.171788
256, 1000000, 1.156618
256, 1000000, 1.164914
256, 1000000, 1.156246
256, 1000000, 1.231299
256, 1000000, 1.157361
256, 1000000, 1.176567
256, 1000000, 1.140361
256, 1000000, 1.159378
256, 1000000, 1.156008
256, 1000000, 1.167935
256, 1000000, 1.158243
256, 1000000, 1.170841
256, 1000000, 1.140894
256, 1000000, 1.176712
256, 1000000, 1.170150
256, 1000000, 1.195183
256, 1000000, 1.174498
