arr_size, iters, time
32, 1000000, 30.644798
32, 1000000, 19.323584
32, 1000000, 14.285943
32, 1000000, 11.119402
32, 1000000, 9.775829
32, 1000000, 8.041928
32, 1000000, 6.591477
32, 1000000, 5.504518
32, 1000000, 5.483799
32, 1000000, 4.800051
32, 1000000, 4.761154
32, 1000000, 4.162428
32, 1000000, 4.152156
32, 1000000, 3.556190
32, 1000000, 3.584230
32, 1000000, 3.496395
32, 1000000, 2.998880
32, 1000000, 2.998370
32, 1000000, 2.944815
32, 1000000, 2.482842
32, 1000000, 2.514759
32, 1000000, 2.466856
32, 1000000, 2.024793
32, 1000000, 1.997766
32, 1000000, 2.001312
32, 1000000, 1.970243
32, 1000000, 1.578198
32, 1000000, 3.083152
32, 1000000, 2.391557
32, 1000000, 1.602075
32, 1000000, 1.598384
32, 1000000, 1.666030
32, 1000000, 1.573873
32, 1000000, 1.152207
32, 1000000, 1.949682
32, 1000000, 1.176126
32, 1000000, 1.365771
32, 1000000, 1.171352
32, 1000000, 1.193376
32, 1000000, 1.382725
32, 1000000, 1.153524
32, 1000000, 1.168623
32, 1000000, 1.170053
32, 1000000, 1.168580
32, 1000000, 1.165773
32, 1000000, 1.306950
32, 1000000, 1.380276
32, 1000000, 1.153447
32, 1000000, 1.167582
32, 1000000, 1.165259
32, 1000000, 1.170961
32, 1000000, 1.380114
32, 1000000, 1.211280
32, 1000000, 1.150549
32, 1000000, 1.147876
32, 1000000, 1.169941
32, 1000000, 1.364497
32, 1000000, 1.169899
32, 1000000, 1.228439
32, 1000000, 1.207154
32, 1000000, 1.192381
32, 1000000, 1.150979
32, 1000000, 1.187529
32, 1000000, 1.167050
32, 1000000, 1.205308
32, 1000000, 1.168557
32, 1000000, 1.232639
32, 1000000, 1.158743
32, 1000000, 1.396695
32, 1000000, 1.171676
32, 1000000, 1.170342
32, 1000000, 1.167724
32, 1000000, 1.170623
32, 1000000, 1.220395
32, 1000000, 1.150273
32, 1000000, 1.158835
32, 1000000, 1.148284
32, 1000000, 1.220618
32, 1000000, 1.168416
32, 1000000, 1.146090
32, 1000000, 1.164289
32, 1000000, 1.354158
32, 1000000, 1.154811
32, 1000000, 1.168318
32, 1000000, 1.146168
32, 1000000, 1.163393
32, 1000000, 1.151416
32, 1000000, 1.171147
32, 1000000, 1.195645
32, 1000000, 1.128791
32, 1000000, 1.161256
32, 1000000, 1.155307
32, 1000000, 1.176289
32, 1000000, 1.155873
32, 1000000, 1.216035
32, 1000000, 1.197435
32, 1000000, 1.370669
32, 1000000, 1.175696
32, 1000000, 1.384323
32, 1000000, 1.163759
